Line Name,Rest Value
  H2  7- 6 Q(10),    4.05584
  H2  2- 1 O( 7),    4.05403
  H2  8- 7 Q( 4),    4.02885
  H2 10- 8 O(11),    4.02771
  H2 10- 9 S( 3),    4.02471
  H2  7- 5 O(17),    4.02160
  H2  9- 8 S( 0),    4.01835
  H2  0- 0 S(12),    3.99692
  H2 10- 9 S(11),    3.99475
  H2  8- 7 Q( 3),    3.98961
  H2 11- 9 Q(12),    3.98141
  H2 12-10 Q( 8),    3.97990
  H2  8- 6 O(15),    3.97921
  H2  6- 5 Q(13),    3.97465
  H2  3- 2 O( 6),    3.97199
  H2  9- 7 O(13),    3.96817
  H2  7- 6 Q( 9),    3.96457
  H2  8- 7 Q( 2),    3.96061
  H2  7- 6 O( 2),    3.95108
  H2  8- 7 Q( 1),    3.94148
  H2 13-11 S( 4),    3.94062
  H2 12-10 O( 5),    3.92190
  H2 10- 9 S( 4),    3.91784
  H2  4- 3 O( 5),    3.91725
  H2 13-10 O( 9),    3.91470
  H2 13-11 S( 0),    3.91259
  H2  6- 5 O( 3),    3.90028
  H2  5- 4 O( 4),    3.89141
  H2  7- 6 Q( 8),    3.88556
  H2 11- 9 O( 8),    3.87939
  H2 10- 9 S(10),    3.87884
  H2  6- 5 Q(12),    3.86872
  H2 13-11 S( 3),    3.86394
  H2 13-11 S( 1),    3.85591
  H2  0- 0 S(13),    3.84723
  H2 10- 9 S( 5),    3.83969
  H2  9- 8 S( 1),    3.83189
  H2  5- 4 Q(15),    3.82686
  H2  7- 6 Q( 7),    3.81761
  H2 12- 9 O(12),    3.81614
  H2  1- 0 O( 7),    3.80740
  H2 10- 9 S( 9),    3.80704
  H2 10- 9 S( 6),    3.78909
  H2 14-11 O( 4),    3.78363
  H2  6- 5 Q(11),    3.77514
  H2 10- 9 S( 8),    3.77099
  H2 10- 9 S( 7),    3.76586
  H2  7- 6 Q( 6),    3.75978
  H2 12-10 Q( 7),    3.75487
  H2 10- 8 O(10),    3.73025
  H2  0- 0 S(14),    3.72558
  H2  2- 1 O( 6),    3.72370
  H2  7- 5 O(16),    3.72254
  H2  5- 4 Q(14),    3.72152
  H2  7- 6 Q( 5),    3.71133
  H2 12-10 O( 4),    3.69825
  H2  6- 5 Q(10),    3.69257
  H2  8- 6 O(14),    3.68037
  H2  9- 8 S( 2),    3.67637
  H2  9- 7 O(12),    3.67404
  H2  7- 6 Q( 4),    3.67171
  H2 11- 9 Q(11),    3.67085
  H2  3- 2 O( 5),    3.66324
  H2  6- 5 O( 2),    3.64230
  H2  7- 6 Q( 3),    3.64047
  H2  4- 3 O( 4),    3.62739
  H2  5- 4 Q(13),    3.62703
  H2  0- 0 S(15),    3.62636
  H2  8- 7 S( 0),    3.62530
  H2 11- 9 O( 7),    3.62123
  H2  6- 5 Q( 9),    3.61997
  H2  5- 4 O( 3),    3.61851
  H2  7- 6 Q( 2),    3.61731
  H2  7- 6 Q( 1),    3.60199
  H2 12-10 Q( 6),    3.58434
  H2 14-11 O( 3),    3.56636
  H2  6- 5 Q( 8),    3.55647
  H2 10- 8 Q(14),    3.55377
  H2  0- 0 S(16),    3.54456
  H2  5- 4 Q(12),    3.54232
  H2 13-10 O( 8),    3.52425
  H2  4- 3 Q(15),    3.51798
  H2  6- 4 O(17),    3.51429
  H2 12-10 O( 3),    3.51258
  H2  6- 5 Q( 7),    3.50142
  H2  1- 0 O( 6),    3.50081
  H2  9- 8 S(13),    3.47960
  H2 10- 8 O( 9),    3.47768
  H2  0- 0 S(17),    3.47505
  H2 14-11 Q( 3),    3.47060
  H2  5- 4 Q(11),    3.46654
  H2  7- 5 O(15),    3.46316
  H2  8- 7 S( 1),    3.45682
  H2  6- 5 Q( 6),    3.45426
  H2 12-10 Q( 5),    3.45353
  H2  9- 8 S( 4),    3.44496
  H2  2- 1 O( 5),    3.43787
  H2 11- 9 Q(10),    3.43661
  H2  4- 3 Q(14),    3.42884
  H2  8- 6 O(13),    3.42430
  H2  9- 7 O(11),    3.42232
  H2 11- 8 O(14),    3.41656
  H2  6- 5 Q( 5),    3.41455
  H2  0- 0 S(18),    3.41196
  H2 14-11 O( 2),    3.40693
  H2 11- 9 O( 6),    3.40256
  H2  5- 4 Q(10),    3.39898
  H2  3- 2 O( 4),    3.39589
  H2 12- 9 O(11),    3.38377
  H2  5- 4 O( 2),    3.38259
  H2  6- 5 Q( 4),    3.38194
  H2  9- 8 S(12),    3.37799
  H2  4- 3 O( 3),    3.37646
  H2  9- 8 S( 5),    3.36422
  H2 12-10 O( 2),    3.35886
  H2  6- 5 Q( 3),    3.35617
  H2 12-10 Q( 4),    3.35342
  H2 14-11 Q( 2),    3.35016
  H2  4- 3 Q(13),    3.34863
  H2  5- 4 Q( 9),    3.33905
  H2  6- 5 Q( 2),    3.33701
  H2 12-10 S( 8),    3.33080
  H2  6- 5 Q( 1),    3.32432
  H2  7- 6 S( 0),    3.31603
  H2  8- 7 S( 2),    3.31460
  H2  9- 8 S(11),    3.30845
  H2  9- 8 S( 6),    3.30455
  H2 10- 8 Q(13),    3.29569
  H2  6- 4 O(16),    3.28933
  H2  5- 4 Q( 8),    3.28625
  H2 12-10 Q( 3),    3.27832
  H2  4- 3 Q(12),    3.27659
  H2 14-11 Q( 1),    3.27576
  H2  9- 8 S(10),    3.26519
  H2  9- 8 S( 7),    3.26493
  H2 10- 8 O( 8),    3.26072
  H2 11- 9 Q( 9),    3.25447
  H2  3- 2 Q(15),    3.25268
  H2  9- 8 S( 8),    3.24492
